,date,Weekly_Count,Site Name
148,2021-08-08,14,MLO-869 : MLO - Tulsa
149,2021-08-15,20,MLO-869 : MLO - Tulsa
150,2021-08-22,14,MLO-869 : MLO - Tulsa
151,2021-08-29,18,MLO-869 : MLO - Tulsa
152,2021-09-05,15,MLO-869 : MLO - Tulsa
153,2021-09-12,8,MLO-869 : MLO - Tulsa
154,2021-09-19,15,MLO-869 : MLO - Tulsa
155,2021-09-26,14,MLO-869 : MLO - Tulsa
156,2021-10-03,14,MLO-869 : MLO - Tulsa
157,2021-10-10,17,MLO-869 : MLO - Tulsa
158,2021-10-17,19,MLO-869 : MLO - Tulsa
159,2021-10-24,14,MLO-869 : MLO - Tulsa
160,2021-10-31,19,MLO-869 : MLO - Tulsa
