,date,Weekly_Count,Site Name
150,2021-08-22,30,MLO-043 : MLO - West Virginia
151,2021-08-29,21,MLO-043 : MLO - West Virginia
152,2021-09-05,22,MLO-043 : MLO - West Virginia
153,2021-09-12,17,MLO-043 : MLO - West Virginia
154,2021-09-19,18,MLO-043 : MLO - West Virginia
155,2021-09-26,18,MLO-043 : MLO - West Virginia
156,2021-10-03,21,MLO-043 : MLO - West Virginia
157,2021-10-10,8,MLO-043 : MLO - West Virginia
158,2021-10-17,16,MLO-043 : MLO - West Virginia
159,2021-10-24,15,MLO-043 : MLO - West Virginia
160,2021-10-31,16,MLO-043 : MLO - West Virginia
